Course Name,Code,Acronym,Course Organiser,Course Secretary,Semester,Credits,Course info notes,Live this year? 2022/23,2023/24,(Predicted) Student Numbers,Group Size (max),Number of Tutorial Groups,Tutor Hrs p/w,No of weeks,No ST Required,Super Tutor contact hrs for 1 session,Super Tutor Multiplier,No T Required,Tutor contact hrs for 1 session,Tutor marking multiplier,Tutor Marking Hours,Hours Required,NYT,Frequency
Statistics (Year 2) lab,MATH08051_L,Sta2_lab, Serveh Sharifi Far,mdelane1,Semester 2,10,,y,,270,15,18,1,5,2,5,1,18,5,2,5,190,2,Even
Statistics (Year 2) workshop,MATH08051,Sta2_ws, Serveh Sharifi Far,mdelane1,Semester 2,10,,y,,270,15,18,1,5,2,5,1,18,5,2,5,190,2,Odd
Stochastic Analysis in Finance,MATH11154,SAF,ISTVAN GYONGY,gaitchi2,Semester 1,20,,y,,80,15,5,1,10,0,10,1,5,10,2,10,107,P,Weekly
Stochastic Control and Dynamic Asset Allocation,MATH11150,SCDAA,David Siska,gaitchi2,Semester 2,10,,y,,30,15,2,1,5,0,5,1,2,5,3,10,30,P,Odd
Stochastic Modelling,MATH10007,SMo,TIBOR ANTAL,gmazelyt,Semester 1,10,jointly taught with MATH11029 - not sure of student numbers,y,,190,15,13,1,5,0,5,1,13,5,2,5,127,3,odd
Stochastic Modelling OR,MATH11029,SM_OR,TIBOR ANTAL,gaitchi2,Semester 1,10,jointly taught with MATH10007 - not sure of student numbers,y,,60,15,4,2,5,0,10,1,4,10,2,10,80,P,odd
Stochastic Processes,MATH11097,P_SP,SMSTC,lcaudrey,Semester 2,0,,Y,,,15,0,1,10,0,0,1,1,10,1,0,10,,Weekly
Targeted Causal Learning,MATH11238,TCL,Sjoerd Beentjes,gaitchi2,Semester 2,10,,,,15,15,,1,5,0,5,1,1,5,3,10,15,P,Odd
TBC,TBC,TBC,TBC,TBC,TBC,0,Used to log TBC slots on allocation,y,,,15,0,1,5,2,5,1,0,5,2,5,10,,Weekly
The Analysis of Survival Data,MATH11024,ASD,JOHN DUFFY,alisonf,Semester 1,10,,y,,,15,0,1,5,2,5,1,0,5,2,5,10,,Weekly
Theory of Elliptic Partial Differential Equations,MATH11184,TEPDE,MARTIN DINDOS,mdelane1,Semester 1,10,NOT RUNNING,N,,,15,0,1,5,2,5,1,0,5,2,5,10,5,Even
Theory of Statistical Inference,MATH10028,TSI,Tim Cannings,alisonf,Semester 1,10,,y,,85,15,6,1,5,0,5,1,6,5,3,10,85,4,Even
Time Series,MATH11131,TS,Ioannis Papastathopoulos,gaitchi2,Semester 2,10,,y,,55,15,4,2,3,0,6,1,4,6,2,6,44,P,"Wk 3,5,9"
Topics in Applied Operational Research,MATH11183,TAOR,Miguel Anjos,gaitchi2,Semester 2,10,,y,,50,15,3,2,5,0,10,1,3,10,2,10,67,P,Odd
Topics in Applied Optimization,MATH11194,TAO,ANDREAS GROTHEY,gaitchi2,Semester 2,10,,y,,,15,0,1,5,2,5,1,0,5,2,5,10,P,Weekly
Topics in Mathematical Biology,MATH10083,TMB,NIKOLA POPOVIC,alisonf,Semester 2,10,cf as S2,y,,5,15,0,,,0,0,1,0,0,2,0,0,4,
Topics in Mathematical Physics A,MATH11227,TMPh,Johan Martens,mdelane1,Semester 2,10,,y,,,12,0,1,5,0,5,1,0,5,3,10,0,5,Even
Topics in Mathematical Physics B,MATH11229,TMPh,James Luccietti,mdelane1,Semester 2,10,,,,25,12,2,1,5,0,5,1,2,5,3,10,31,5,odd
Topics in Noncommutative Algebra,MATH11143,TNA,AGATA SMOKTUNOWICZ,mdelane1,Semester 1,10,NOT RUNNING,N,Y,,12,0,1,5,2,5,1,0,5,3,10,10,5,Even
Topics in Ring and Representation Theory,MATH11144,TRRT,Andrea Appel,mdelane1,Semester 2,10,,y,,15,12,1,1,5,2,5,1,1,5,2,5,23,5,Even
Variational Calculus,MATH11179,VarC,José Figueroa-O'Farrill,mdelane1,Semester 1,10,NOT RUNNING,N,,,12,0,1,5,2,5,1,0,5,2,5,10,5,Even
Classical Mechanics for Mathematicians,MATH10106,CMM,TBC,gmazelyt,Semester 2,10,,,Y,70,15,5,1,5,,5,1,5,5,3,10,70,3,Even
Extended Statistical Programming,MATH11242,ESP,Simon Wood,gaitchi2,Semester 1 ,20,,,Y,,15,0,,,,0,1,0,0,2,0,0,P,
Uncertainty Quantification,MATH11243,UQ,Aretha Teckentrup,mdelane1,Semester 2 ,10,Replaces Data Assimilation as of AY 23/24,,Y,8,15,1,1,5,0,5,1,1,5,3,10,8,5,Weekly
